fid_1,DN,AREA,MEAN,Shape_Leng,Shape_Area,Usable_SR_,Elec_prod_,geometry
1,1,96.00000000000,1566.99180094000,0.00074870109,0.00000002098,150.43121289000,26.96930784700,"MULTIPOLYGON (((86.434990278178873 23.820388796505824, 86.434990586646336 23.820317096257043, 86.435029579451566 23.820317268926885, 86.435029733235638 23.820281373386706, 86.435107717946892 23.820281627894872, 86.4351075632635 23.820317522535674, 86.435"
2,1,48.00000000000,1565.39070638000,0.00029946056,0.00000000420,75.13875390620,13.47087580030,"MULTIPOLYGON (((86.435302369908527 23.820354097963275, 86.435302523692599 23.820318202423152, 86.435341515598509 23.820318375092995, 86.4353416702819 23.820282479552816, 86.435380662187868 23.820282652222659, 86.435380353720404 23.820354351572121, 86.435"
3,1,80.00000000000,1557.18374023000,0.00052078286,0.00000000839,124.57469921800,22.33375207590,"MULTIPOLYGON (((86.435619786524001 23.820211825215608, 86.435620095890783 23.820140034135306, 86.435659086897374 23.82014020590583, 86.435658933113302 23.820176101445952, 86.435697847677602 23.820176181485635, 86.435697692994211 23.820212077025758, 86.43"
4,1,64.00000000000,1532.17337036000,0.00029946146,0.00000000560,98.05909570300,17.58003467760,"MULTIPOLYGON (((86.435303141526845 23.820174802824965, 86.435303450893628 23.820103011744663, 86.435381434705505 23.820103356184973, 86.435381125338722 23.820175056433754, 86.435303141526845 23.820174802824965)))"
6,1,64.00000000000,1527.11029053000,0.00038079964,0.00000000594,97.73505859390,17.52194130470,"MULTIPOLYGON (((86.435459572301454 23.820067714253639, 86.435459881668237 23.819996014904234, 86.435498873574204 23.8199961866747, 86.435498718890813 23.82003199138336, 86.435542575229704 23.820032184737613, 86.435542266762241 23.820103884986338, 86.4354"
8,1,336.00000000000,1512.40243676000,0.00166231768,0.00000005245,508.16721875100,91.10421897770,"MULTIPOLYGON (((86.436404325399337 23.820214648187516, 86.436404480082729 23.820178752647394, 86.436443471089376 23.82017892531718, 86.436443625772768 23.820143029777057, 86.436482616779415 23.82014320154758, 86.436482771462806 23.820107306007401, 86.436"
9,1,80.00000000000,1527.49396973000,0.00044914836,0.00000001259,122.19951757800,21.90792951150,"MULTIPOLYGON (((86.434914223412761 23.819953629856172, 86.434914687462935 23.819846034966588, 86.4350316640801 23.8198464603459, 86.435031200929245 23.819954056134861, 86.434914223412761 23.819953629856172)))"
10,1,80.00000000000,1551.29929199000,0.00037735040,0.00000000699,124.10394335900,22.24935496540,"MULTIPOLYGON (((86.436050006902349 23.81988603411321, 86.43605016158574 23.819850229404608, 86.436089152592388 23.819850310343611, 86.436089307275779 23.819814505634952, 86.436167290188337 23.819814759243798, 86.436166980821554 23.81988654942478, 86.4360"
11,1,896.00000000000,1514.83103725000,0.00383265498,0.00000011728,1357.28860938000,243.33470188900,"MULTIPOLYGON (((86.435620559041638 23.820032438346402, 86.435620867509101 23.819956205514529, 86.435698851320979 23.819956549954895, 86.43569900510505 23.819920654414716, 86.435737997011017 23.819920826185239, 86.435738151694409 23.819884931544379, 86.43"
12,1,112.00000000000,1570.21536691000,0.00044922991,0.00000001119,175.86412109400,31.52891962970,"MULTIPOLYGON (((86.436917616155142 23.819853416601973, 86.436917925521925 23.819781625521671, 86.437034897642491 23.819782050900983, 86.437034434491636 23.819889645790568, 86.436956452478341 23.819889393081098, 86.436956607161733 23.819853497540919, 86.4"
15,1,96.00000000000,1549.77423096000,0.00045886750,0.00000000874,148.77832617200,26.67297831610,"MULTIPOLYGON (((86.43679624275245 23.819745374749289, 86.436796397435842 23.819709479209166, 86.436835388442489 23.819709651879009, 86.436835543125881 23.81967375633883, 86.436874533233208 23.819673928109353, 86.436874379449137 23.819709732817955, 86.436"
16,1,464.00000000000,1519.78477320000,0.00196125951,0.00000006363,705.18013476500,126.42469456100,"MULTIPOLYGON (((86.436249210332846 23.820034757697954, 86.436249518800309 23.819958524866081, 86.436288510706277 23.819958696636604, 86.436288664490348 23.819922801096425, 86.436327655496939 23.819922972866948, 86.43632781018033 23.819887077326825, 86.43"
17,1,112.00000000000,1535.92112514000,0.00044922696,0.00000000979,172.02316601600,30.84031320330,"MULTIPOLYGON (((86.437113187223872 23.819710603361727, 86.437113496590655 23.819638903112946, 86.437152486697983 23.819639073984149, 86.437152641381374 23.819603179343289, 86.437230622495292 23.819603432052816, 86.437230314027829 23.819675222233798, 86.4"
19,1,192.00000000000,1564.47656250000,0.00067698334,0.00000001679,300.37950000000,53.85203676000,"MULTIPOLYGON (((86.436996524470089 23.819638477733633, 86.436996832937552 23.819566687552651, 86.4370358239442 23.819566859323174, 86.437035978627591 23.819530963782995, 86.437113959741509 23.819531307324041, 86.437114114424901 23.819495411783862, 86.437"
20,1,272.00000000000,1503.37566780000,0.00142507307,0.00000004614,408.91818164200,73.31085160470,"MULTIPOLYGON (((86.436328428014576 23.819743586897062, 86.436328736482039 23.81967188664828, 86.436367728388007 23.819672058418803, 86.436367882172078 23.81963616287868, 86.436406874078045 23.819636334649203, 86.436407027862117 23.819600439109024, 86.436"
22,1,544.00000000000,1462.81404383000,0.00167195372,0.00000006016,795.77083984400,142.66579616700,"MULTIPOLYGON (((86.43726961260262 23.819603602923962, 86.437269921969403 23.819531902675237, 86.437308912076674 23.819531983614183, 86.437309066760065 23.819496088973381, 86.437348056867393 23.819496259844584, 86.437348211550784 23.819460364304405, 86.43"
